"Step","quiet-lion-1 - eval/loss","quiet-lion-1 - eval/loss__MIN","quiet-lion-1 - eval/loss__MAX"
"2","2.1819605827331543","2.1819605827331543","2.1819605827331543"
"6","2.0614707469940186","2.0614707469940186","2.0614707469940186"
"9","1.96591317653656","1.96591317653656","1.96591317653656"
"13","1.9005801677703857","1.9005801677703857","1.9005801677703857"
"16","1.8492432832717896","1.8492432832717896","1.8492432832717896"
"20","1.8015937805175781","1.8015937805175781","1.8015937805175781"
"23","1.7608708143234253","1.7608708143234253","1.7608708143234253"
"27","1.7312724590301514","1.7312724590301514","1.7312724590301514"
"30","1.6970633268356323","1.6970633268356323","1.6970633268356323"
"34","1.6684362888336182","1.6684362888336182","1.6684362888336182"
"37","1.64512300491333","1.64512300491333","1.64512300491333"
"41","1.6249970197677612","1.6249970197677612","1.6249970197677612"
"44","1.6075981855392456","1.6075981855392456","1.6075981855392456"
"48","1.59136962890625","1.59136962890625","1.59136962890625"
"51","1.5761150121688843","1.5761150121688843","1.5761150121688843"
"55","1.56227445602417","1.56227445602417","1.56227445602417"
"58","1.551786184310913","1.551786184310913","1.551786184310913"