"Step","nagus-phage-1 - eval/loss","nagus-phage-1 - eval/loss__MIN","nagus-phage-1 - eval/loss__MAX"
"2","6.073907375335693","6.073907375335693","6.073907375335693"
"6","5.495964527130127","5.495964527130127","5.495964527130127"
"9","5.24853515625","5.24853515625","5.24853515625"
"13","5.087802886962891","5.087802886962891","5.087802886962891"
"16","4.9774909019470215","4.9774909019470215","4.9774909019470215"
"20","4.896694183349609","4.896694183349609","4.896694183349609"
"23","4.827836036682129","4.827836036682129","4.827836036682129"
"27","4.773852348327637","4.773852348327637","4.773852348327637"
"30","4.729704856872559","4.729704856872559","4.729704856872559"
"34","4.688291549682617","4.688291549682617","4.688291549682617"
"37","4.653623104095459","4.653623104095459","4.653623104095459"
"41","4.623858451843262","4.623858451843262","4.623858451843262"
"44","4.597304344177246","4.597304344177246","4.597304344177246"
"48","4.576713562011719","4.576713562011719","4.576713562011719"
"51","4.552880764007568","4.552880764007568","4.552880764007568"
"55","4.53487491607666","4.53487491607666","4.53487491607666"
"58","4.520402431488037","4.520402431488037","4.520402431488037"
"62","4.505804538726807","4.505804538726807","4.505804538726807"
"65","4.486242294311523","4.486242294311523","4.486242294311523"
"69","4.472071170806885","4.472071170806885","4.472071170806885"