"Step","radiant-star-2 - eval/loss","radiant-star-2 - eval/loss__MIN","radiant-star-2 - eval/loss__MAX","daily-glitter-1 - eval/loss","daily-glitter-1 - eval/loss__MIN","daily-glitter-1 - eval/loss__MAX"
"2","5.8160576820373535","5.8160576820373535","5.8160576820373535","5.7567830085754395","5.7567830085754395","5.7567830085754395"
"6","5.303910255432129","5.303910255432129","5.303910255432129","5.2374348640441895","5.2374348640441895","5.2374348640441895"
"9","5.078495979309082","5.078495979309082","5.078495979309082","5.01984167098999","5.01984167098999","5.01984167098999"
"13","4.9365620613098145","4.9365620613098145","4.9365620613098145","4.88211727142334","4.88211727142334","4.88211727142334"
"16","4.833066463470459","4.833066463470459","4.833066463470459","4.773725509643555","4.773725509643555","4.773725509643555"
"20","4.757028102874756","4.757028102874756","4.757028102874756","4.703042984008789","4.703042984008789","4.703042984008789"
"23","4.696756839752197","4.696756839752197","4.696756839752197","4.637711524963379","4.637711524963379","4.637711524963379"
"27","4.636223793029785","4.636223793029785","4.636223793029785","4.590860366821289","4.590860366821289","4.590860366821289"
"30","4.591005325317383","4.591005325317383","4.591005325317383","4.549196243286133","4.549196243286133","4.549196243286133"
"34","4.553521156311035","4.553521156311035","4.553521156311035","4.511397361755371","4.511397361755371","4.511397361755371"
"37","4.520658016204834","4.520658016204834","4.520658016204834","4.477066516876221","4.477066516876221","4.477066516876221"
"41","4.492015838623047","4.492015838623047","4.492015838623047","4.449389457702637","4.449389457702637","4.449389457702637"
"44","4.465318202972412","4.465318202972412","4.465318202972412","4.427314758300781","4.427314758300781","4.427314758300781"
"48","4.444206237792969","4.444206237792969","4.444206237792969","4.40199613571167","4.40199613571167","4.40199613571167"
"51","4.422826766967773","4.422826766967773","4.422826766967773","4.381190299987793","4.381190299987793","4.381190299987793"
"55","4.40241003036499","4.40241003036499","4.40241003036499","4.361194610595703","4.361194610595703","4.361194610595703"
"58","4.383148670196533","4.383148670196533","4.383148670196533","4.342609882354736","4.342609882354736","4.342609882354736"
"62","4.367012977600098","4.367012977600098","4.367012977600098","4.326016902923584","4.326016902923584","4.326016902923584"
"65","4.3473334312438965","4.3473334312438965","4.3473334312438965","4.311265468597412","4.311265468597412","4.311265468597412"
"69","4.333338737487793","4.333338737487793","4.333338737487793","4.298335075378418","4.298335075378418","4.298335075378418"
"72","4.319733142852783","4.319733142852783","4.319733142852783","4.282983779907227","4.282983779907227","4.282983779907227"
"76","4.312543869018555","4.312543869018555","4.312543869018555","4.271332263946533","4.271332263946533","4.271332263946533"
"79","4.299019813537598","4.299019813537598","4.299019813537598","4.259638786315918","4.259638786315918","4.259638786315918"
"83","4.286309719085693","4.286309719085693","4.286309719085693","4.249881744384766","4.249881744384766","4.249881744384766"
"86","4.274364948272705","4.274364948272705","4.274364948272705","4.236863136291504","4.236863136291504","4.236863136291504"
"90","4.2644944190979","4.2644944190979","4.2644944190979","4.226243495941162","4.226243495941162","4.226243495941162"
"93","4.254875183105469","4.254875183105469","4.254875183105469","4.21685266494751","4.21685266494751","4.21685266494751"
"97","4.247745037078857","4.247745037078857","4.247745037078857","4.206443786621094","4.206443786621094","4.206443786621094"
"100","4.236727237701416","4.236727237701416","4.236727237701416","4.2015509605407715","4.2015509605407715","4.2015509605407715"
"104","4.231052875518799","4.231052875518799","4.231052875518799","4.190811634063721","4.190811634063721","4.190811634063721"
"107","4.2201128005981445","4.2201128005981445","4.2201128005981445","4.185057640075684","4.185057640075684","4.185057640075684"
"111","4.214095592498779","4.214095592498779","4.214095592498779","4.177213668823242","4.177213668823242","4.177213668823242"
"114","4.2061076164245605","4.2061076164245605","4.2061076164245605","4.171199321746826","4.171199321746826","4.171199321746826"
"118","4.19711446762085","4.19711446762085","4.19711446762085","4.163058757781982","4.163058757781982","4.163058757781982"
"121","4.192349910736084","4.192349910736084","4.192349910736084","4.154630661010742","4.154630661010742","4.154630661010742"
"125","4.1845703125","4.1845703125","4.1845703125","4.148885726928711","4.148885726928711","4.148885726928711"
"128","4.1770124435424805","4.1770124435424805","4.1770124435424805","4.146883487701416","4.146883487701416","4.146883487701416"
"132","4.171079158782959","4.171079158782959","4.171079158782959","4.135312080383301","4.135312080383301","4.135312080383301"
"135","4.166716575622559","4.166716575622559","4.166716575622559","4.130064964294434","4.130064964294434","4.130064964294434"
"139","4.161705017089844","4.161705017089844","4.161705017089844","4.125844955444336","4.125844955444336","4.125844955444336"
"142","4.154264450073242","4.154264450073242","4.154264450073242","4.118983268737793","4.118983268737793","4.118983268737793"
"146","4.151062488555908","4.151062488555908","4.151062488555908","4.112224578857422","4.112224578857422","4.112224578857422"
"149","4.145442485809326","4.145442485809326","4.145442485809326","4.109569072723389","4.109569072723389","4.109569072723389"
"153","4.138874530792236","4.138874530792236","4.138874530792236","4.102578163146973","4.102578163146973","4.102578163146973"
"156","4.135442733764648","4.135442733764648","4.135442733764648","4.098971843719482","4.098971843719482","4.098971843719482"
"160","4.132478713989258","4.132478713989258","4.132478713989258","4.094611167907715","4.094611167907715","4.094611167907715"
"163","4.12451696395874","4.12451696395874","4.12451696395874","4.0881123542785645","4.0881123542785645","4.0881123542785645"
"167","4.12281608581543","4.12281608581543","4.12281608581543","4.0821685791015625","4.0821685791015625","4.0821685791015625"
"170","4.1161932945251465","4.1161932945251465","4.1161932945251465","4.078513145446777","4.078513145446777","4.078513145446777"
"174","4.111998558044434","4.111998558044434","4.111998558044434","4.075672149658203","4.075672149658203","4.075672149658203"
"177","4.1086039543151855","4.1086039543151855","4.1086039543151855","4.069972515106201","4.069972515106201","4.069972515106201"
"181","4.106004238128662","4.106004238128662","4.106004238128662","4.0654473304748535","4.0654473304748535","4.0654473304748535"
"184","4.100066661834717","4.100066661834717","4.100066661834717","4.061905860900879","4.061905860900879","4.061905860900879"
"188","4.099716663360596","4.099716663360596","4.099716663360596","4.06038236618042","4.06038236618042","4.06038236618042"
"191","4.093249797821045","4.093249797821045","4.093249797821045","4.055243015289307","4.055243015289307","4.055243015289307"
"195","4.0898051261901855","4.0898051261901855","4.0898051261901855","4.053666591644287","4.053666591644287","4.053666591644287"
"198","4.088070392608643","4.088070392608643","4.088070392608643","4.0509233474731445","4.0509233474731445","4.0509233474731445"
"202","4.082455158233643","4.082455158233643","4.082455158233643","4.047593593597412","4.047593593597412","4.047593593597412"
"205","4.079068183898926","4.079068183898926","4.079068183898926","4.041159629821777","4.041159629821777","4.041159629821777"
"209","4.078533172607422","4.078533172607422","4.078533172607422","4.038239479064941","4.038239479064941","4.038239479064941"
"212","4.070909023284912","4.070909023284912","4.070909023284912","4.035706520080566","4.035706520080566","4.035706520080566"
"216","4.068891525268555","4.068891525268555","4.068891525268555","4.03183650970459","4.03183650970459","4.03183650970459"
"219","4.0665459632873535","4.0665459632873535","4.0665459632873535","4.027016639709473","4.027016639709473","4.027016639709473"
"223","4.066645622253418","4.066645622253418","4.066645622253418","4.023852348327637","4.023852348327637","4.023852348327637"
"226","","","","4.0209503173828125","4.0209503173828125","4.0209503173828125"