"Step","fancy-vortex-1 - eval/loss","fancy-vortex-1 - eval/loss__MIN","fancy-vortex-1 - eval/loss__MAX"
"2","0.9967392683029175","0.9967392683029175","0.9967392683029175"
"6","0.8792345523834229","0.8792345523834229","0.8792345523834229"
"9","0.8006296157836914","0.8006296157836914","0.8006296157836914"
"13","0.755706787109375","0.755706787109375","0.755706787109375"
"16","0.7194303274154663","0.7194303274154663","0.7194303274154663"
"20","0.6896332502365112","0.6896332502365112","0.6896332502365112"
"23","0.6688715219497681","0.6688715219497681","0.6688715219497681"
"27","0.6443221569061279","0.6443221569061279","0.6443221569061279"
"30","0.6345064640045166","0.6345064640045166","0.6345064640045166"
"34","0.6098204255104065","0.6098204255104065","0.6098204255104065"
"37","0.6038525104522705","0.6038525104522705","0.6038525104522705"
"41","0.5921562314033508","0.5921562314033508","0.5921562314033508"
"44","0.5795578360557556","0.5795578360557556","0.5795578360557556"
"48","0.5705928802490234","0.5705928802490234","0.5705928802490234"
"51","0.5648671388626099","0.5648671388626099","0.5648671388626099"
"55","0.5674387216567993","0.5674387216567993","0.5674387216567993"
"58","0.5459532141685486","0.5459532141685486","0.5459532141685486"
"62","0.5392985343933105","0.5392985343933105","0.5392985343933105"
"65","0.5352810025215149","0.5352810025215149","0.5352810025215149"
"69","0.5246766209602356","0.5246766209602356","0.5246766209602356"
"72","0.5242561101913452","0.5242561101913452","0.5242561101913452"
"76","0.5168623328208923","0.5168623328208923","0.5168623328208923"
"79","0.5411455035209656","0.5411455035209656","0.5411455035209656"
"83","0.5102694630622864","0.5102694630622864","0.5102694630622864"
"86","0.5118249654769897","0.5118249654769897","0.5118249654769897"
"90","0.49437281489372253","0.49437281489372253","0.49437281489372253"
"93","0.4966900646686554","0.4966900646686554","0.4966900646686554"
"97","0.48600879311561584","0.48600879311561584","0.48600879311561584"
"100","0.48518121242523193","0.48518121242523193","0.48518121242523193"
"104","0.48243990540504456","0.48243990540504456","0.48243990540504456"
"107","0.48805975914001465","0.48805975914001465","0.48805975914001465"
"111","0.4784155786037445","0.4784155786037445","0.4784155786037445"
"114","0.4749443233013153","0.4749443233013153","0.4749443233013153"