"Step","astral-jazz-1 - eval/loss","astral-jazz-1 - eval/loss__MIN","astral-jazz-1 - eval/loss__MAX"
"2","5.487901210784912","5.487901210784912","5.487901210784912"
"6","5.347473621368408","5.347473621368408","5.347473621368408"
"9","5.272704124450684","5.272704124450684","5.272704124450684"
"13","5.172829627990723","5.172829627990723","5.172829627990723"
"16","5.070850849151611","5.070850849151611","5.070850849151611"
"20","4.862308025360107","4.862308025360107","4.862308025360107"
"23","4.679914951324463","4.679914951324463","4.679914951324463"
"27","4.48357629776001","4.48357629776001","4.48357629776001"
"30","4.32211971282959","4.32211971282959","4.32211971282959"
"34","4.238954067230225","4.238954067230225","4.238954067230225"
"37","4.098326683044434","4.098326683044434","4.098326683044434"
"41","4.002346038818359","4.002346038818359","4.002346038818359"
"44","3.9055018424987793","3.9055018424987793","3.9055018424987793"
"48","3.820420503616333","3.820420503616333","3.820420503616333"
"51","3.7673757076263428","3.7673757076263428","3.7673757076263428"
"55","3.73024320602417","3.73024320602417","3.73024320602417"
"58","3.6759095191955566","3.6759095191955566","3.6759095191955566"
"62","3.6364848613739014","3.6364848613739014","3.6364848613739014"
"65","3.5916364192962646","3.5916364192962646","3.5916364192962646"
"69","3.5702524185180664","3.5702524185180664","3.5702524185180664"
"72","3.5422372817993164","3.5422372817993164","3.5422372817993164"
"76","3.520083427429199","3.520083427429199","3.520083427429199"
"79","3.5021674633026123","3.5021674633026123","3.5021674633026123"
"83","3.469041109085083","3.469041109085083","3.469041109085083"
"86","3.4538042545318604","3.4538042545318604","3.4538042545318604"
"90","3.42634916305542","3.42634916305542","3.42634916305542"
"93","3.4214868545532227","3.4214868545532227","3.4214868545532227"
"97","3.4103198051452637","3.4103198051452637","3.4103198051452637"
"100","3.3859434127807617","3.3859434127807617","3.3859434127807617"
"104","3.378441333770752","3.378441333770752","3.378441333770752"
"107","3.3612186908721924","3.3612186908721924","3.3612186908721924"
"111","3.348705768585205","3.348705768585205","3.348705768585205"
"114","3.3373632431030273","3.3373632431030273","3.3373632431030273"
"118","3.323697805404663","3.323697805404663","3.323697805404663"
"121","3.316110610961914","3.316110610961914","3.316110610961914"
"125","3.2983438968658447","3.2983438968658447","3.2983438968658447"