"Step","graceful-lake-6 - eval/loss","graceful-lake-6 - eval/loss__MIN","graceful-lake-6 - eval/loss__MAX"
"2","0.8204043507575989","0.8204043507575989","0.8204043507575989"
"6","0.7114595770835876","0.7114595770835876","0.7114595770835876"
"9","0.6698160171508789","0.6698160171508789","0.6698160171508789"
"13","0.6355162262916565","0.6355162262916565","0.6355162262916565"
"16","0.616958737373352","0.616958737373352","0.616958737373352"
"20","0.601350724697113","0.601350724697113","0.601350724697113"
"23","0.5874878168106079","0.5874878168106079","0.5874878168106079"
"27","0.5860013365745544","0.5860013365745544","0.5860013365745544"
"30","0.5694670677185059","0.5694670677185059","0.5694670677185059"
"34","0.5573748350143433","0.5573748350143433","0.5573748350143433"
"37","0.5507665276527405","0.5507665276527405","0.5507665276527405"
"41","0.5419899821281433","0.5419899821281433","0.5419899821281433"
"44","0.5348381400108337","0.5348381400108337","0.5348381400108337"
"48","0.5322996377944946","0.5322996377944946","0.5322996377944946"
"51","0.5268291234970093","0.5268291234970093","0.5268291234970093"
"55","0.5203348994255066","0.5203348994255066","0.5203348994255066"
"58","0.5170371532440186","0.5170371532440186","0.5170371532440186"
"62","0.5134509205818176","0.5134509205818176","0.5134509205818176"
"65","0.5120692253112793","0.5120692253112793","0.5120692253112793"
"69","0.5022562742233276","0.5022562742233276","0.5022562742233276"
"72","0.4983989894390106","0.4983989894390106","0.4983989894390106"
"76","0.49772122502326965","0.49772122502326965","0.49772122502326965"
"79","0.4929707944393158","0.4929707944393158","0.4929707944393158"
"83","0.4889944791793823","0.4889944791793823","0.4889944791793823"
"86","0.48496678471565247","0.48496678471565247","0.48496678471565247"
"90","0.4811086058616638","0.4811086058616638","0.4811086058616638"
"93","0.4801117479801178","0.4801117479801178","0.4801117479801178"
"97","0.4758293926715851","0.4758293926715851","0.4758293926715851"
"100","0.4732818007469177","0.4732818007469177","0.4732818007469177"
"104","0.4711618721485138","0.4711618721485138","0.4711618721485138"
"107","0.46945837140083313","0.46945837140083313","0.46945837140083313"
"111","0.4681529402732849","0.4681529402732849","0.4681529402732849"
"114","0.4656405448913574","0.4656405448913574","0.4656405448913574"
"118","0.46404343843460083","0.46404343843460083","0.46404343843460083"
"121","0.46316051483154297","0.46316051483154297","0.46316051483154297"