"Step","nagus-dukat-12 - eval/loss","nagus-dukat-12 - eval/loss__MIN","nagus-dukat-12 - eval/loss__MAX"
"2","5.139166831970215","5.139166831970215","5.139166831970215"
"6","5.058071613311768","5.058071613311768","5.058071613311768"
"9","4.8918328285217285","4.8918328285217285","4.8918328285217285"
"13","4.683086395263672","4.683086395263672","4.683086395263672"
"16","4.493239879608154","4.493239879608154","4.493239879608154"
"20","4.366267204284668","4.366267204284668","4.366267204284668"
"23","4.232868194580078","4.232868194580078","4.232868194580078"
"27","4.159438610076904","4.159438610076904","4.159438610076904"
"30","4.065581321716309","4.065581321716309","4.065581321716309"
"34","3.975486993789673","3.975486993789673","3.975486993789673"
"37","3.9136013984680176","3.9136013984680176","3.9136013984680176"
"41","3.838007926940918","3.838007926940918","3.838007926940918"
"44","3.7966644763946533","3.7966644763946533","3.7966644763946533"
"48","3.7332475185394287","3.7332475185394287","3.7332475185394287"
"51","3.7032291889190674","3.7032291889190674","3.7032291889190674"
"55","3.6567182540893555","3.6567182540893555","3.6567182540893555"
"58","3.6165337562561035","3.6165337562561035","3.6165337562561035"
"62","3.585116147994995","3.585116147994995","3.585116147994995"
"65","3.5548346042633057","3.5548346042633057","3.5548346042633057"
"69","3.5206658840179443","3.5206658840179443","3.5206658840179443"
"72","3.4890317916870117","3.4890317916870117","3.4890317916870117"
"76","3.4739904403686523","3.4739904403686523","3.4739904403686523"
"79","3.4423727989196777","3.4423727989196777","3.4423727989196777"
"83","3.4280941486358643","3.4280941486358643","3.4280941486358643"
"86","3.4063398838043213","3.4063398838043213","3.4063398838043213"
"90","3.381314992904663","3.381314992904663","3.381314992904663"
"93","3.3675076961517334","3.3675076961517334","3.3675076961517334"
"97","3.353602409362793","3.353602409362793","3.353602409362793"
"100","3.336005449295044","3.336005449295044","3.336005449295044"
"104","3.325165271759033","3.325165271759033","3.325165271759033"
"107","3.311138153076172","3.311138153076172","3.311138153076172"
"111","3.296229600906372","3.296229600906372","3.296229600906372"
"114","3.290883779525757","3.290883779525757","3.290883779525757"
"118","3.2780587673187256","3.2780587673187256","3.2780587673187256"
"121","3.2637879848480225","3.2637879848480225","3.2637879848480225"
"125","3.252802848815918","3.252802848815918","3.252802848815918"
"128","3.247270107269287","3.247270107269287","3.247270107269287"